participant.id_in_session,participant.code,participant.label,assigned_role,group.id_in,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
24,49ru8nb0,SUB26,P2,24,17,3,70,30,10,90,83,17,29.88,2.72,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 10, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 17, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,39,3,70,30,42,58,61,39,21.96,6.24,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 39, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,44,3,70,30,40,60,56,44,20.16,7.04,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 44, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,42,3,70,30,45,55,58,42,20.88,6.72,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 45, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,40,3,70,30,35,65,60,40,21.6,6.4,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 35, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,23,3,70,30,30,70,77,23,27.72,3.68,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 23, ""accepted"": true}]"
17,zkx8in1a,SUB16,P2,17,43,4,70,30,1,99,57,43,0,0,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 1, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 43, ""accepted"": false}]"
23,7mv0ktln,SUB23,P2,23,20,4,70,30,30,70,80,20,0,0,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}]"
24,49ru8nb0,SUB26,P2,24,35,1,65,35,,,,,65,35,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,35,1,65,35,,,,,65,35,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,40,2,65,35,40,60,,,24,24,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
22,1pbdj537,SUB20,P2,22,42,2,65,35,42,58,,,25.2,23.2,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,zkx8in1a,SUB16,P2,17,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
5,nh7aajh2,SUB08,P2,5,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,40,1,60,40,,,,,60,40,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8xbs4gco,SUB05,P2,8,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
24,49ru8nb0,SUB26,P2,24,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,zkx8in1a,SUB16,P2,17,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P2,20,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,zkx8in1a,SUB16,P2,17,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,30,2,60,40,30,70,,,18,28,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,35,2,60,40,35,65,,,21,26,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 35, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,25,2,60,40,25,75,,,15,30,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 25, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,12,4,60,40,20,80,88,12,0,0,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 20, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 12, ""accepted"": false}]"
3,imt9yc21,SUB03,P2,3,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
7,7wdmb5sf,SUB09,P2,7,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P2,20,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,74dlajfd,SUB22,P2,21,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P2,20,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,74dlajfd,SUB22,P2,21,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,n1afhoo5,SUB27,P2,25,50,1,50,50,,,,,50,50,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
7,7wdmb5sf,SUB09,P2,7,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,1pbdj537,SUB20,P2,22,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
11,1jdjqddd,SUB13,P2,11,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
6,tp33s34j,SUB07,P2,6,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,a5d0lckm,SUB10,P2,9,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,7mv0ktln,SUB23,P2,23,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
5,nh7aajh2,SUB08,P2,5,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
